<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,093000,3768.4000000,3769.9900000,3766.4400000,3766.6300000,58
20210104,093100,3766.4100000,3767.2200000,3765.8300000,3766.3000000,58
20210104,093200,3766.1300000,3766.1300000,3763.1500000,3763.1700000,59
20210104,093300,3763.0900000,3763.0900000,3760.5500000,3760.9900000,61
20210104,093400,3761.1300000,3761.6800000,3759.6200000,3759.6200000,59
20210104,093500,3759.8000000,3759.9500000,3756.5200000,3756.7800000,60
20210104,093600,3756.5200000,3756.5600000,3754.4200000,3754.4200000,55
20210104,093700,3754.5200000,3755.0100000,3754.0100000,3754.4400000,58
20210104,093800,3754.4700000,3754.5900000,3752.7300000,3753.0400000,57
20210104,093900,3753.0900000,3754.4000000,3752.9700000,3753.8200000,59
20210104,094000,3753.4600000,3753.7300000,3750.9300000,3751.1600000,57
20210104,094100,3751.1100000,3751.9600000,3749.1700000,3751.8200000,58
20210104,094200,3751.7900000,3751.7900000,3749.4700000,3750.5400000,58
20210104,094300,3750.5100000,3752.1800000,3750.4000000,3752.0000000,60
20210104,094400,3751.9600000,3754.2700000,3751.8500000,3754.2700000,56
20210104,094500,3754.2300000,3755.5900000,3753.7300000,3755.5900000,58
20210104,094600,3755.4700000,3756.0600000,3755.1500000,3755.8500000,56
20210104,094700,3755.8700000,3756.6700000,3755.4900000,3755.8100000,56
20210104,094800,3755.4800000,3756.6900000,3755.4300000,3756.1200000,58
20210104,094900,3756.2000000,3757.0200000,3755.9500000,3756.3500000,57
20210104,095000,3756.4200000,3756.4200000,3753.0600000,3753.2200000,60
20210104,095100,3752.9100000,3752.9100000,3749.5700000,3749.9400000,54
20210104,095200,3749.9100000,3749.9100000,3745.3300000,3745.3300000,59
20210104,095300,3745.2600000,3747.8000000,3745.2600000,3747.6100000,56
20210104,095400,3747.6600000,3750.4000000,3747.6500000,3749.7600000,58
20210104,095500,3749.8200000,3751.1400000,3749.8200000,3750.8100000,55
20210104,095600,3750.8500000,3751.0400000,3747.7400000,3748.7600000,60
20210104,095700,3748.8000000,3749.8500000,3748.0800000,3749.8500000,60
20210104,095800,3750.0500000,3750.8800000,3749.5700000,3749.7000000,59
20210104,095900,3749.6400000,3749.7500000,3747.7900000,3747.7900000,56
20210104,100000,3747.9000000,3750.9200000,3747.9000000,3750.0800000,57
20210104,100100,3750.0600000,3750.0600000,3747.7000000,3747.9100000,59
20210104,100200,3747.9200000,3749.0200000,3747.9200000,3748.7200000,56
20210104,100300,3748.7700000,3748.7700000,3747.4300000,3748.3000000,52
20210104,100400,3748.2100000,3748.2400000,3745.6800000,3746.8400000,58
20210104,100500,3746.7200000,3747.4700000,3745.3300000,3745.7400000,56
20210104,100600,3745.6700000,3745.8900000,3744.2100000,3745.3300000,61
20210104,100700,3745.2200000,3745.2300000,3743.6200000,3743.6900000,55
20210104,100800,3743.6100000,3743.9700000,3741.7400000,3741.9800000,59
20210104,100900,3741.9600000,3742.7500000,3741.8300000,3742.6200000,58
20210104,101000,3742.7100000,3743.4600000,3742.2700000,3742.2700000,58
20210104,101100,3742.3200000,3742.6800000,3740.7700000,3741.3100000,58
20210104,101200,3741.2400000,3741.2400000,3739.9400000,3739.9500000,57
20210104,101300,3739.9900000,3740.6200000,3739.7500000,3740.4100000,56
20210104,101400,3740.3600000,3740.6900000,3739.6500000,3740.0600000,55
20210104,101500,3739.7800000,3740.1700000,3737.9500000,3738.3900000,59
20210104,101600,3738.2900000,3740.9700000,3738.1500000,3740.6600000,58
20210104,101700,3740.7600000,3741.6600000,3740.7600000,3740.8600000,56
20210104,101800,3740.8700000,3741.4200000,3740.4100000,3740.4100000,58
20210104,101900,3740.2500000,3740.2500000,3738.6900000,3738.6900000,56
20210104,102000,3738.7000000,3739.0200000,3737.7700000,3739.0200000,58
20210104,102100,3739.3500000,3740.7100000,3739.3500000,3740.2100000,59
20210104,102200,3740.2200000,3740.2200000,3738.1800000,3738.2700000,59
20210104,102300,3738.3100000,3738.5100000,3737.4500000,3737.6700000,57
20210104,102400,3737.4400000,3738.5700000,3737.3200000,3738.0200000,56
20210104,102500,3737.7900000,3737.9200000,3737.0800000,3737.9200000,59
20210104,102600,3737.9600000,3738.1700000,3736.7700000,3736.9900000,58
20210104,102700,3736.9300000,3736.9600000,3735.6000000,3736.8500000,56
20210104,102800,3736.7700000,3737.3500000,3736.0000000,3736.8400000,56
20210104,102900,3736.8300000,3738.9100000,3736.7600000,3738.8400000,53
20210104,103000,3738.8100000,3739.6100000,3738.3700000,3738.5800000,59
20210104,103100,3738.5100000,3738.7700000,3736.1700000,3736.3300000,58
20210104,103200,3736.2900000,3736.7200000,3733.8100000,3734.7800000,53
20210104,103300,3734.7600000,3734.8600000,3733.1600000,3733.9200000,59
20210104,103400,3733.9800000,3734.5300000,3733.9800000,3734.3300000,56
20210104,103500,3734.3000000,3734.4300000,3732.7900000,3733.2500000,57
20210104,103600,3733.2700000,3733.7100000,3732.7700000,3732.9000000,60
20210104,103700,3732.9400000,3733.5600000,3732.5800000,3732.5900000,59
20210104,103800,3732.5200000,3732.5200000,3731.3400000,3732.0600000,57
20210104,103900,3731.9600000,3732.4200000,3731.5500000,3732.1600000,58
20210104,104000,3731.9700000,3733.7900000,3731.8800000,3732.6900000,55
20210104,104100,3732.8500000,3733.8400000,3732.0700000,3733.8200000,56
20210104,104200,3733.9200000,3735.6300000,3733.9200000,3735.6300000,58
20210104,104300,3735.6400000,3736.9000000,3735.6400000,3735.6400000,59
20210104,104400,3735.6300000,3735.6500000,3734.0400000,3734.0400000,58
20210104,104500,3734.0900000,3734.0900000,3726.7800000,3727.7700000,60
20210104,104600,3727.7300000,3727.8300000,3726.2700000,3726.2700000,56
20210104,104700,3725.8700000,3726.7800000,3725.5100000,3725.5300000,56
20210104,104800,3725.4900000,3725.9800000,3725.4300000,3725.7700000,55
20210104,104900,3725.8300000,3726.8600000,3725.4600000,3725.7900000,56
20210104,105000,3725.7400000,3726.3500000,3725.3200000,3725.6800000,56
20210104,105100,3725.6600000,3725.7800000,3721.8000000,3721.9100000,54
20210104,105200,3721.8700000,3722.4700000,3719.3500000,3719.3600000,56
20210104,105300,3718.6700000,3719.7000000,3714.5800000,3714.6600000,58
20210104,105400,3714.4500000,3715.9300000,3714.4500000,3715.4300000,55
20210104,105500,3715.6600000,3716.9600000,3714.8800000,3715.1900000,59
20210104,105600,3715.1700000,3715.4300000,3714.4900000,3715.2900000,58
20210104,105700,3715.2700000,3716.9200000,3712.4800000,3716.8200000,58
20210104,105800,3716.9100000,3716.9800000,3715.7500000,3716.5400000,60
20210104,105900,3716.4700000,3716.4700000,3713.2500000,3713.9700000,56
20210104,110000,3713.8600000,3717.0600000,3713.1500000,3717.0100000,56
20210104,110100,3717.2100000,3717.8000000,3716.3200000,3716.6700000,60
20210104,110200,3716.8400000,3716.8400000,3710.5900000,3712.1900000,58
20210104,110300,3712.1700000,3712.5600000,3708.2700000,3708.2700000,57
20210104,110400,3707.3400000,3707.3400000,3701.0200000,3703.6100000,59
20210104,110500,3703.7100000,3707.2800000,3703.7100000,3705.1900000,56
20210104,110600,3705.0900000,3705.0900000,3699.3800000,3699.3900000,62
20210104,110700,3699.6600000,3701.4900000,3694.6400000,3694.6400000,53
20210104,110800,3693.8800000,3698.4900000,3693.8800000,3697.9100000,56
20210104,110900,3697.7100000,3698.6300000,3695.3000000,3695.3000000,57
20210104,111000,3695.4300000,3695.4300000,3691.3100000,3694.1200000,58
20210104,111100,3694.1400000,3699.5400000,3694.1400000,3699.5400000,57
20210104,111200,3700.3000000,3703.1900000,3700.1900000,3703.1900000,56
20210104,111300,3703.2100000,3705.7000000,3702.8300000,3705.7000000,58
20210104,111400,3705.7100000,3706.2900000,3704.3000000,3706.2900000,59
20210104,111500,3706.3800000,3706.4800000,3703.5400000,3705.2800000,58
20210104,111600,3705.3100000,3705.3100000,3703.6900000,3703.9400000,55
20210104,111700,3703.8200000,3706.4700000,3703.6800000,3706.1200000,58
20210104,111800,3706.1500000,3706.3900000,3704.5700000,3704.5700000,54
20210104,111900,3704.4100000,3707.3300000,3702.6000000,3707.3300000,58
20210104,112000,3707.3900000,3707.3900000,3705.3200000,3706.6100000,57
20210104,112100,3706.5800000,3706.5800000,3704.5900000,3704.8500000,55
20210104,112200,3704.9100000,3705.8900000,3702.5000000,3703.9600000,58
20210104,112300,3704.0400000,3705.7900000,3704.0400000,3704.7600000,57
20210104,112400,3704.6400000,3704.6500000,3701.1700000,3701.6400000,60
20210104,112500,3701.5200000,3703.3800000,3700.1000000,3703.3300000,58
20210104,112600,3703.2700000,3705.5400000,3703.2700000,3705.2900000,57
20210104,112700,3704.8300000,3704.8300000,3702.4100000,3703.3900000,57
20210104,112800,3703.1600000,3703.5900000,3702.8600000,3703.4400000,53
20210104,112900,3703.5400000,3704.2700000,3703.3200000,3704.1800000,53
20210104,113000,3704.2700000,3704.2700000,3700.3600000,3703.5300000,59
20210104,113100,3703.4400000,3703.4600000,3699.1500000,3699.3200000,58
